data,faturamento_efetivado,faturamento_pendente,qtd_vendas_efetivadas,qtd_vendas_pendentes
2027-06-25,2053.0,0.0,8,0
2027-06-26,1430.0,0.0,6,0
2027-06-29,797.0,0.0,5,0
2027-06-30,4062.0,0.0,14,0
2027-07-01,3338.0,0.0,12,0
2027-07-02,1507.0,0.0,6,0
2027-07-03,953.0,0.0,4,0
2027-07-06,1139.0,0.0,6,0
2027-07-07,1609.0,0.0,4,0
2027-07-08,2208.0,0.0,10,0
2027-07-09,93.0,0.0,0,0
2027-07-10,637.0,0.0,4,0
2027-07-13,1912.0,0.0,4,0
2027-07-14,2112.0,0.0,8,0
2027-07-15,1414.0,0.0,8,0
2027-07-16,1824.0,0.0,6,0
2027-07-17,1122.0,0.0,4,0
2027-07-20,2339.0,0.0,9,0
2027-07-21,3780.0,0.0,8,0
2027-07-22,2841.0,0.0,8,0
2027-07-23,911.0,0.0,4,0
2027-07-24,840.0,0.0,4,0
2027-07-27,2034.0,0.0,8,0
2027-07-28,3623.0,0.0,14,0
2027-07-29,1434.0,0.0,6,0
2027-07-30,1016.0,0.0,6,0
2027-07-31,914.0,0.0,3,0
2027-08-03,2138.0,0.0,8,0
2027-08-04,4453.0,0.0,12,0
2027-08-05,2178.0,0.0,8,0
2027-08-06,1101.0,0.0,5,0
2027-08-07,1728.0,0.0,8,0
2027-08-10,1928.0,0.0,6,0
2027-08-11,2391.0,0.0,10,0
2027-08-12,2155.0,0.0,4,0
2027-08-13,2101.0,0.0,6,0
2027-08-14,771.0,0.0,4,0
2027-08-17,2370.0,0.0,10,0
2027-08-18,5693.0,0.0,15,0
2027-08-19,1910.0,0.0,7,0
2027-08-20,2113.0,0.0,7,0
2027-08-21,666.0,0.0,6,0
2027-08-24,2152.0,0.0,10,0
2027-08-25,4801.0,0.0,12,0
2027-08-26,791.0,0.0,6,0
2027-08-27,2488.0,0.0,4,0
2027-08-28,927.0,0.0,7,0
2027-08-31,2046.0,0.0,8,0
2027-09-01,3156.0,0.0,12,0
2027-09-02,3533.0,0.0,9,0
2027-09-03,1470.0,0.0,6,0
2027-09-04,1383.0,0.0,5,0
2027-09-07,127.0,0.0,1,0
2027-09-08,5240.0,0.0,14,0
2027-09-09,1404.0,0.0,6,0
2027-09-10,1057.0,0.0,2,0
2027-09-11,903.0,0.0,3,0
2027-09-14,1449.0,0.0,4,0
2027-09-15,3087.0,0.0,11,0
2027-09-16,458.0,0.0,4,0
